EvalNumber,Fitness,TimeElapsed,initialGrass,initialBunny,initialFox,bunnyStart,bunnyFood,bunnyCooldown,bunnyFed,bunnyChildren,bunnyLiveLength,foxStart,foxCooldown,foxFed,foxChildren,foxLiveLength,grassFood,grassCooldown,grassChildren,grassLiveLength
1,13,0.0661,14,20,9,25,19,43,20,3,31,31,19,4,1,13,29,23,2,34
2,11,0.0419,32,20,18,17,20,14,26,4,41,18,17,25,2,24,4,20,4,11
3,18,0.0581,12,24,39,28,12,19,23,2,27,18,13,19,1,14,16,1,1,17
4,17,0.0317,28,30,18,23,23,6,37,2,17,14,20,22,2,31,28,23,2,24
5,28,0.0487,36,24,25,31,26,7,44,3,28,22,7,42,3,26,30,4,2,14
6,12,0.0411,22,33,1,20,34,25,8,4,35,12,15,25,1,26,34,18,4,22
7,7,0.0323,1,21,35,17,22,34,33,3,18,26,12,10,1,30,18,10,4,20
8,23,0.0418,37,29,20,22,30,28,33,3,27,9,5,10,3,27,46,23,1,34
9,3,0.023,25,36,30,21,22,18,33,3,3,36,18,30,4,45,25,38,3,35
10,28,0.0628,18,32,2,31,25,30,32,1,43,39,30,13,3,44,35,15,4,18
11,7,0.0388,25,20,26,31,23,13,34,2,19,21,36,27,2,7,26,25,3,27
12,9,0.0395,18,28,29,17,38,38,33,4,11,34,49,34,3,26,28,39,3,26
13,2,0.0224,39,17,11,18,18,29,15,4,2,18,20,26,2,32,27,33,2,18
14,18,0.0378,46,31,23,33,39,15,27,1,35,27,20,19,4,16,34,28,2,28
15,11,0.0315,18,21,26,16,22,26,49,3,30,21,18,22,3,46,20,18,1,12
16,19,0.0431,21,41,35,27,28,21,42,1,38,25,27,12,1,24,31,4,4,25
17,14,0.0398,7,37,16,40,23,13,15,3,43,16,8,17,2,39,18,49,2,18
18,14,0.0348,32,21,7,17,29,27,16,4,19,18,49,39,3,17,15,13,2,25
19,27,0.129,33,33,33,43,28,3,10,4,31,45,13,15,4,14,47,31,2,29
20,17,0.0477,29,30,33,20,27,31,18,1,28,15,33,20,4,23,21,25,3,24
21,20,0.0799,18,32,25,26,30,20,47,3,20,23,18,25,1,46,39,3,3,31
22,19,0.0485,35,34,9,36,25,20,34,4,21,29,15,27,4,46,29,34,1,22
23,17,0.0378,30,23,18,30,17,18,36,3,44,33,16,33,1,15,39,36,4,22
24,15,0.0958,32,37,21,31,26,22,37,4,39,35,6,22,3,20,32,18,4,17
25,17,0.0588,38,27,18,45,29,3,38,1,21,32,13,22,2,21,48,20,4,18
26,2,0.0391,30,40,14,47,41,30,25,1,23,38,9,17,4,22,49,14,3,2
27,16,0.0628,18,22,30,43,28,2,33,1,21,31,22,3,2,16,49,39,1,21
28,28,0.063,40,33,4,31,37,24,40,2,32,20,21,19,3,37,22,18,2,24
29,20,0.0885,22,16,24,29,35,14,23,2,35,33,18,22,3,29,37,6,4,24
30,36,0.1744,42,28,19,23,15,7,35,4,37,17,2,24,4,39,48,5,3,35
31,24,0.1217,31,49,20,31,49,3,39,4,23,15,19,23,3,30,26,13,1,18
32,5,0.0594,34,19,34,28,29,2,13,3,32,34,10,40,4,23,25,24,4,5
33,12,0.0859,45,20,33,38,5,11,18,2,49,23,6,23,2,13,45,14,3,42
34,5,0.0665,43,1,19,36,16,7,30,2,14,41,11,27,4,44,20,17,1,43
35,44,0.3647,20,36,22,35,25,6,37,1,32,19,10,26,2,34,27,1,3,8
36,21,0.1108,24,25,31,28,37,12,41,2,36,47,16,24,1,21,45,17,4,21
37,32,0.114,49,22,17,43,21,22,28,1,44,42,20,33,1,47,36,18,4,31
38,18,0.1598,39,30,38,24,33,15,31,4,46,19,10,22,3,22,26,10,3,25
39,18,0.1443,27,29,30,43,37,23,13,2,39,25,42,3,3,24,31,14,2,20
40,23,0.1731,31,45,21,22,24,8,40,1,37,15,21,14,4,43,39,13,2,15
41,26,0.2868,31,46,38,21,26,1,44,2,40,24,19,17,4,49,43,4,4,34
42,38,0.2628,30,26,20,36,47,1,42,3,35,37,18,17,3,45,44,8,4,25
43,41,0.6466,42,44,22,26,22,1,46,2,41,18,13,30,4,23,26,2,2,20
44,43,0.105,33,33,14,10,34,10,31,2,43,31,21,21,1,40,32,6,4,25
45,38,0.1456,39,31,11,26,27,17,46,1,43,40,4,37,3,44,49,8,4,28
46,36,0.0807,15,30,7,31,20,5,37,1,46,35,14,41,1,35,49,4,1,27
47,31,0.0755,33,27,8,39,15,23,37,1,42,27,24,22,2,32,25,20,1,26
48,32,0.0886,29,49,10,40,24,6,44,2,28,25,11,37,2,42,49,12,3,23
49,32,0.0784,37,23,13,49,22,27,21,2,33,30,20,17,4,27,26,8,2,29
50,2,0.0399,39,34,8,46,21,26,49,2,39,7,20,34,4,3,28,44,4,22
51,15,0.0677,31,31,3,39,22,22,12,2,37,26,5,16,3,37,24,27,4,16
52,28,0.0955,41,32,17,29,47,8,43,1,38,28,16,25,3,35,45,14,3,27
53,21,0.0636,35,38,15,29,17,10,21,1,24,10,8,37,3,22,23,15,2,30
54,15,0.1032,29,34,27,43,27,9,40,1,20,20,6,33,4,33,42,15,3,21
55,27,0.1186,25,38,16,25,28,25,30,2,35,31,21,24,2,36,44,12,2,35
56,9,0.0654,46,31,12,40,1,13,47,1,35,8,16,30,1,46,34,3,4,18
57,15,0.0609,28,38,3,22,21,14,41,1,36,10,12,23,4,48,47,30,3,16
58,55,0.5359,29,44,34,27,31,1,36,3,36,19,21,9,3,29,21,1,4,23
59,35,0.2877,12,33,25,29,40,19,40,2,27,20,49,32,2,38,27,1,2,21
60,23,0.1878,24,22,14,41,15,13,43,2,28,39,12,15,4,41,34,7,4,30
61,37,0.1385,47,37,6,37,33,11,49,3,41,14,21,24,3,37,20,9,3,22
62,52,0.2891,48,45,8,23,29,7,32,2,41,29,8,7,3,48,48,4,3,23
63,23,0.0844,42,42,27,22,18,18,14,1,43,29,29,38,4,32,29,8,4,20
64,25,0.1013,32,30,33,24,38,14,25,3,45,31,12,21,1,33,17,4,3,21
65,21,0.0884,33,45,31,25,38,22,34,4,36,24,29,32,2,29,37,19,2,20
66,50,0.2823,20,28,11,10,37,15,47,1,48,17,7,13,1,49,44,1,4,27
67,20,0.0966,30,23,15,26,16,10,34,3,33,36,22,1,1,19,33,17,1,31
68,26,0.1508,42,44,15,26,21,5,43,2,49,15,21,3,3,22,29,5,2,19
69,13,0.0763,4,40,4,18,13,25,49,2,44,28,32,6,2,36,20,6,4,19
70,28,0.0691,41,19,6,36,44,10,48,2,27,36,14,22,4,23,35,22,3,24
71,16,0.0914,32,38,27,34,24,6,49,1,17,9,3,18,4,32,15,4,2,40
72,39,0.4186,26,29,3,25,30,1,41,1,44,30,1,16,3,38,32,2,4,43
73,31,0.0606,17,22,13,25,9,4,38,1,40,16,15,37,1,49,34,9,2,20
74,50,0.2766,39,35,21,43,26,9,40,2,34,3,26,21,4,48,49,1,4,13
75,18,0.1003,22,44,2,20,16,17,17,1,34,37,27,13,4,31,28,6,3,11
76,14,0.1181,49,16,17,18,40,6,36,1,14,29,21,14,2,14,9,2,3,11
77,28,0.1413,24,45,13,37,20,20,31,2,32,26,6,32,1,36,45,27,4,34
