Generation,Fitness,TimeElapsed
1,44,1.7886
2,46,1.8346
3,54,2.9106
4,63,3.9064
5,59,4.8799
6,68,5.1702
7,69,5.0823
8,69,6.0281
9,72,6.3838
10,77,7.7389
11,95,9.0595
12,98,11.2053
13,104,9.4499
14,104,9.2128
15,104,8.7895
16,104,9.6096
17,129,11.6041
18,139,13.7826
19,139,15.3019
20,139,14.311
21,139,13.3839
22,141,23.7553
23,157,24.6339
24,157,14.2548
25,157,13.5482
26,157,17.4259
27,157,24.1471
28,160,14.8666
29,157,15.6325
30,157,14.1194
31,157,16.2239
32,157,19.491
33,157,17.3387
34,157,15.0555
35,157,14.2028
36,157,12.8916
37,157,14.1815
38,157,13.5497
39,157,15.0167
40,157,12.6434
41,161,12.7733
42,161,13.99
43,161,15.9544
44,161,13.1656
45,161,13.0941
46,161,11.8237
47,161,12.3093
48,173,15.8592
49,161,18.2067
50,182,17.6711
51,182,18.4145
52,182,17.1102
53,182,15.9936
54,182,15.0534
55,182,12.498
56,182,12.7844
57,182,15.3896
58,182,14.8715
59,182,14.261
60,182,15.6803
61,182,14.9108
62,182,18.6808
63,182,21.973
64,182,17.764
65,182,17.174
66,182,19.207
67,182,19.3464
68,182,21.9317
69,182,21.9644
70,182,20.33
71,182,17.4524
72,182,17.3942
73,182,16.7965
74,182,20.2462
75,182,17.8365
76,182,16.9088
77,182,15.6474
78,182,16.6546
79,182,13.5202
80,182,14.7357
81,182,17.6568
82,182,17.7028
83,182,19.0719
84,182,15.6467
85,182,14.111
86,182,14.0855
87,182,16.0772
88,182,18.0541
89,182,17.7796
90,182,17.6616
91,182,19.4246
92,182,18.7095
93,182,13.5538
94,182,13.8712
95,182,17.744
96,182,19.7579
97,182,17.5733
98,182,16.3604
99,182,16.8758
100,182,15.4457
101,182,16.2654
102,182,20.0377
103,182,20.4853
104,182,21.3931
105,182,17.6694
106,182,15.5317
107,182,20.415
108,182,21.0804
109,182,18.2114
110,182,17.8344
111,182,17.5586
112,182,20.9661
113,182,24.2218
