Generation,Fitness,TimeElapsed
1,23,2.4107
2,25,2.0009
3,30,2.0022
4,37,2.1456
5,37,2.4292
6,44,2.7024
7,43,2.5974
8,45,3.224
9,46,3.7089
10,49,4.6394
11,63,4.3602
12,71,7.7615
13,74,7.912
14,74,8.9905
15,77,9.7654
16,74,13.9776
17,74,13.439
18,78,13.0007
19,82,15.098
20,84,17.3435
21,93,19.1283
22,114,15.9105
23,98,15.8343
24,104,15.4984
25,114,14.8246
26,121,14.542
27,121,16.432
28,121,17.0555
29,134,18.0008
30,133,23.1482
31,138,22.2444
32,152,22.2586
33,152,22.5235
34,152,20.8383
35,152,19.7754
36,152,18.6547
37,152,19.911
38,152,21.4329
39,152,19.6621
40,152,16.8896
41,152,20.0543
42,152,22.928
43,152,26.0014
44,152,21.7875
45,152,23.3297
46,152,26.99
47,152,25.1633
48,152,24.9502
49,152,21.242
50,152,22.0667
51,152,24.0117
52,152,21.7018
53,152,16.9462
54,152,16.9101
55,152,18.6499
56,152,17.9179
57,152,18.3893
58,152,20.5558
59,152,24.4524
60,152,23.243
61,152,21.2889
62,153,26.4097
63,152,27.3525
64,152,23.6729
65,152,23.3437
66,156,27.0955
67,156,23.3503
68,156,23.7057
69,156,27.0076
70,156,30.2971
71,156,24.499
72,156,21.9301
73,156,17.4897
74,156,22.3208
75,156,21.9618
76,156,22.8476
77,156,21.4866
78,156,25.6801
79,156,29.1087
80,156,30.0349
81,156,25.6285
82,156,25.8851
83,156,29.2917
84,156,32.7672
85,156,35.9602
86,156,32.0132
87,156,28.9829
88,156,26.8535
89,156,25.6428
90,156,27.2502
91,156,27.39
92,156,27.5862
93,156,28.7161
94,156,28.3584
95,156,23.8381
96,156,23.1793
97,156,27.9727
98,156,31.6564
99,156,32.7007
100,156,22.3273
101,156,20.2177
102,156,23.7932
103,156,24.3476
104,156,22.8251
105,156,23.3037
106,156,23.7366
107,156,25.0518
108,156,30.2645
109,156,24.5122
110,156,24.9145
111,156,23.2017
112,156,19.0646
113,156,19.4171
114,156,21.0768
115,156,22.7538
116,156,20.2122
117,156,19.7797
118,156,27.7319
119,156,32.5023
120,156,49.4879
121,156,23.4126
122,156,17.5367
123,156,25.5975
124,156,23.9775
125,156,19.1247
126,156,26.9179
127,156,27.2356
128,156,19.4493
129,156,21.5063
130,156,15.2059
131,156,17.0597
132,156,19.5499
133,156,21.952
134,156,27.132
135,156,28.3663
136,156,32.0205
137,156,31.6305
138,156,28.0421
139,156,24.0236
140,156,25.2722
141,156,29.751
142,156,25.6154
143,156,24.4039
144,156,24.2566
145,156,23.433
146,156,30.8622
147,156,30.079
148,156,23.0923
149,156,28.2808
150,156,25.6901
151,156,19.4261
152,156,19.5249
153,156,20.8801
154,156,25.4033
155,156,26.3168
156,156,29.159
157,156,27.9689
158,156,25.0942
159,156,24.7714
160,156,22.5616
161,156,24.6735
162,156,24.2819
163,156,20.4904
164,156,20.0073
165,156,21.5828
166,156,24.5374
167,156,23.4308
168,156,24.2809
169,156,21.2383
170,156,17.6429
171,156,20.5581
172,156,19.4781
173,156,15.8426
174,156,17.8867
175,156,21.7593
176,156,23.3055
177,156,23.9619
178,156,28.9088
179,156,23.9599
180,156,16.5526
181,156,12.4001
182,156,17.5811
183,156,25.3929
184,156,24.2176
185,156,27.123
186,156,29.4791
187,156,31.3311
188,156,29.8034
189,156,24.3492
190,156,24.0273
191,156,24.9848
192,156,23.6504
193,156,26.8417
194,156,24.0062
195,156,19.1969
196,156,21.7758
197,156,22.3117
198,156,21.2516
199,156,20.1744
200,156,20.6371
201,156,18.7663
202,156,20.7112
203,156,22.9298
204,156,22.3874
205,156,24.5092
206,156,28.3167
207,156,27.3288
208,156,23.7821
209,156,21.69
210,156,21.8706
211,156,18.0169
212,156,19.5595
213,156,17.1076
214,156,16.0759
215,156,14.906
216,156,15.031
217,156,15.9644
218,156,18.5083
219,156,16.6884
220,156,16.3779
221,156,23.1107
222,156,25.4158
223,156,25.0507
224,156,25.5801
225,156,26.3313
226,156,22.0539
227,156,22.2121
228,156,22.0083
229,156,19.3623
230,156,16.5939
231,156,15.1652
232,156,18.2812
233,156,22.09
234,156,19.635
235,156,18.3435
236,156,20.023
237,156,22.4836
238,156,20.2014
239,156,21.9394
240,156,26.6363
241,156,23.1337
242,156,21.0997
243,156,18.5441
244,156,20.1979
245,156,19.8324
246,156,20.7677
247,156,23.7149
248,156,20.7693
249,156,22.201
250,159,20.6432
251,165,19.8425
252,161,22.9138
253,179,29.5681
254,171,34.4524
255,171,34.9436
256,181,35.6712
257,181,39.2042
258,181,40.2954
259,181,35.2274
260,181,32.6013
261,181,37.476
262,181,51.3681
263,181,49.0313
264,181,42.1558
