Generation,Fitness,TimeElapsed
1,26,2.782
2,33,1.4918
3,32,1.5163
4,32,1.5678
5,33,1.4878
6,33,1.6445
7,47,1.8382
8,47,2.0151
9,47,2.0778
10,49,2.1932
11,62,2.5171
12,60,2.5439
13,60,2.2999
14,60,1.9518
15,63,1.8917
16,64,2.5447
17,64,3.1856
18,64,2.7555
19,64,2.8619
20,64,2.8448
21,64,2.6834
22,64,2.9671
23,64,3.5059
24,64,3.0986
25,64,3.2245
26,64,3.0491
27,64,2.9387
28,64,3.0915
29,98,3.3795
30,94,3.3872
31,94,2.793
32,94,4.4236
33,94,4.8292
34,94,4.961
35,94,4.6832
36,94,4.8214
37,104,5.7424
38,99,4.5954
39,99,2.3273
40,99,2.2201
41,99,2.5193
42,99,2.5138
43,99,2.4305
44,99,2.2898
45,99,2.2522
46,99,2.3862
47,99,2.6111
48,99,3.2103
49,99,3.4244
50,99,2.9115
51,99,2.517
52,99,3.3926
53,101,4.14
54,99,3.5105
55,99,2.8203
56,99,2.6535
57,99,2.5334
58,99,2.2465
59,99,2.2448
60,99,2.0884
61,99,3.0017
62,99,3.4677
63,99,3.6404
64,103,4.499
65,99,3.6834
66,99,3.1784
67,99,3.3692
68,99,3.5398
69,99,3.6144
70,99,4.5325
71,99,4.5198
72,99,3.6636
73,99,3.1909
74,99,2.7719
75,99,3.6461
76,99,3.9114
77,99,3.3556
78,99,3.3106
79,99,4.2005
80,99,4.4973
81,99,3.7465
82,99,3.4946
83,99,2.9993
84,99,2.8649
85,99,2.7635
86,129,3.7224
87,117,4.0386
88,117,3.4494
89,117,3.7959
90,117,2.7807
91,143,3.9073
92,139,4.0805
93,139,2.8137
94,139,2.0509
95,139,2.2096
96,139,2.3194
97,139,2.4139
98,139,3.438
99,139,3.4537
100,139,2.4116
101,139,2.4171
102,139,2.5965
103,139,3.0114
104,139,2.654
105,139,2.6629
106,139,4.237
107,139,4.8288
108,139,4.8251
109,139,4.6845
110,139,3.6403
111,139,2.9181
112,139,2.9676
113,139,3.1668
114,139,3.1707
115,139,3.0221
116,139,3.5721
117,139,3.6427
118,139,2.909
119,139,3.4325
120,139,3.4862
121,139,2.9954
122,139,3.325
123,139,3.4705
124,139,3.2864
125,139,3.3048
126,139,2.7601
127,139,3.698
128,139,4.7698
129,139,3.6528
130,139,2.4559
131,139,2.812
132,139,3.9372
133,139,4.7602
134,139,3.8182
135,139,2.6556
136,139,2.6774
137,139,2.577
138,139,2.9538
139,139,3.3294
140,139,3.6397
141,165,4.6648
142,158,4.1315
143,158,2.6933
144,158,2.0153
145,158,2.3725
146,158,3.0312
147,158,3.1625
148,158,3.4981
149,158,3.6961
150,158,4.782
151,158,4.4854
152,158,2.7156
153,158,2.6943
154,158,2.7226
155,158,2.4582
156,158,3.0543
157,158,3.6538
158,158,3.5476
159,158,3.3813
160,158,2.8871
161,158,2.4167
162,158,2.8345
163,158,3.0298
164,158,2.6623
165,158,2.3753
166,158,2.2713
167,158,2.1977
168,158,2.8045
169,158,3.5575
170,158,3.164
171,158,2.5056
172,158,3.0061
173,158,3.9939
174,158,5.1366
175,158,5.1823
176,158,3.9562
177,158,3.9579
178,158,4.1368
179,158,3.7958
180,158,4.1434
181,158,3.7818
182,158,2.7816
183,158,3.4361
184,158,5.031
185,158,5.331
186,158,4.2734
187,158,4.6498
188,158,4.1799
189,158,4.6058
190,158,4.6505
191,158,3.5899
192,158,2.6985
193,158,2.2423
194,158,2.4909
195,158,3.9089
196,158,3.8887
197,158,2.4985
198,158,2.1989
199,158,2.5776
200,158,3.4534
201,158,3.511
202,158,2.2854
203,158,2.2285
204,158,2.5544
205,158,4.4837
206,158,4.8832
207,158,3.9739
208,158,3.1805
209,158,3.2785
210,158,4.8412
211,158,4.6143
212,158,3.7791
213,158,3.0325
214,158,2.8477
215,158,3.4366
216,158,3.3152
217,158,3.0167
218,158,3.1925
219,158,3.0388
220,158,3.8596
221,158,4.9625
222,158,5.2292
223,158,6.1497
224,158,4.4119
225,158,2.6822
226,158,3.2483
227,158,2.978
228,158,2.1514
229,158,3.0705
230,158,3.5605
231,158,2.5666
232,158,2.7694
233,158,2.9979
234,158,2.7354
235,158,2.4184
236,158,3.0836
237,158,2.9929
238,158,3.0302
239,158,2.6094
240,158,1.9236
241,158,1.9707
242,158,1.9229
243,158,2.3937
244,158,3.5695
